book ID,Book Name,Author,Translator,Publisher,Novel / Poem Etc,Language,Edition,Publication year,ISB No,Rate,Book Type,Remark,txt_BorrowerBookName,txt_Borrower,txt_BorrowerADR,txt_BorrowerMobile,txt_IssueDate,txt_Remarks2
1,1 - 01,Author 1,,,Publisher,Language,1,,,,Digital PDF,,,,,,,
2,2 - 02,Author 2,,,Publisher,Language,1,,,,Digital PDF,,,,,,,
3,3 - 03,Author 3,,,Publisher,Language,1,,,,Digital PDF,,,,,,,
4,4 - 04,Author 4,,,Publisher,Language,1,,,,Digital PDF,,,,,,,
5,5 - 05,Author 5,,,Publisher,Language,1,,,,Digital PDF,,,,,,,
6,6 - Book 6,Author 6,,,Publisher,Language,1,1939,9788184615951,1,Digital PDF,"Remark 6",,,,,,
7,7 - Book 7,Author 7,,,Publisher,Language,1,1919,9788184617368,300,Digital PDF,"Remark 7",,,,,,
8,8 - Book 8,Author 8,,,Publisher,Language,3,1939,Nil,1,Digital PDF,"Remark 8",,,,,,
9,9 - Book 9,Author 9,,,Publisher,Language,1,1937,9789351751328,1,Digital PDF,"Remark 9",,,,,,
10,10 - Book 10,Author 10,,,Publisher,Language,27,2022,978-93-80126-70-8,350,Digital PDF,,,,,,,
11,11 - Book 11,Author 11,,,Publisher,Language,1,2023,00,1,Digital PDF,,,,,,,
12,12 - Book 12,Author 12,,,Publisher,Language,1,,,,Digital PDF,,,,,,,
13,13 - Book 13,Author 13,,Digital Book,Publisher,Language,,,,,Digital PDF,,,,,,,
14,14 - Book 14,Author 14,,,Publisher,Language,1,2012,0,Remark,Digital PDF,,,,,,,
15,15 - Book 15,Author 15,,Digital Book,Publisher,Language,,,,,Digital PDF,https://www.deeptrivedi.com/,,,,,,
16,16 - Book 16,Author 16,,,Publisher,Language,1,2011,978-81-8495-280-3,,Digital PDF,,,,,,,
17,17 - Book 17,Author 17,,Digital Book,Publisher,Language,,,,,Digital Epub,,,,,,,
18,18 - Book 18,Author 18,,"Amazon Publishing, Seattle",Publisher,Language,,,,,Digital Epub,,,,,,,
19,19 - Book 19,Author 19,,Digital Book,Publisher,Language,,,,,Digital DOCX,,,,,,,
20,20 - 001 Urdu Hindi Shabdkosh (z-lib.org),Author 20,,Publisher,Category,Language,1,1959,,16,Digital PDF,Remark,,,,,,
21,21 - 002 Urdu for Pleasure for Ghazal Love(z-lib.org),Author 21,,Publisher,Category,Language,4,1992,81-900253-0-9,1,Digital PDF,,,,,,,
22,22 - Book 22,Author 22,,,Publisher,Language,1,2015,9781542096010,,Digital PDF,,,,,,,
23,23 - 8 Book 23,Author 23,,,Publisher,Language,1,2015,978-81-8495-780-8,,Digital PDF,,,,,,,
24,24 - Book 24,,,,,,,,,,,,,,,,,
25,25 - 13 Book 25,Author 25,,,Publisher,Language,1,2017,9788193432068,,Digital PDF,,,,,,,
26,26 - 13 Book 26,Author 26,,westland ltd,Publisher,Language,1,2014,9789386224200,,Digital PDF + Digital Epub,,,,,,,
27,27 - Book 27,Author 27,,,Publisher,Language,,,,,Digital PDF,,,,,,,
28,28 - 64 Book 28,Author 28,,,Publisher,Language,1,2025,978-93-84076-15-3,250,Digital PDF,"Science does not need mysticism and mysticism does not need science, but man needs both",,,,,,
29,29 - Book 29,Author 29,,,Publisher,Language,1,1867,,,Digital PDF,,,,,,,
30,30 - Book 30,Author 30,,,Publisher,Language,,,,,Digital PDF,,,,,,,
31,31 - 101 Book 31,Author 31,,,Publisher,Language,1,2014,978-81-8495-584-2,,Digital PDF,,,,,,,
32,32 - Book 32,Author 32,,,Publisher,Language,1,2018,,,Digital PDF,,,,,,,
33,33 - 1947 Book 33,Author 33,,Digital Book,Publisher,Language,,,,,Digital Epub,Remark,,,,,,
34,34 - Book 34,Author 34,,Digital Book,Publisher,Language,,,,,Digital PDF,,,,,,,
35,35 - After the Prophet - The Epic Story of the Shia Sunni Split in Islam,Lesley Hazleton,,Doubleday,Category,Language,,,978-0-285-53209-9,,Digital PDF,,,,,,,
36,36 - ALL ADOBE CC PREMIUM SOFTWARE BUNDLE,Author 36,,Digital Book,Publisher,Language,,,,,Digital PDF,,,,,,,
37,37 - Book 37,Author 37,,,Publisher,Language,,,,,Digital PDF,,,,,,,
